Response	Feature_ID	quantitative_sorting_score	visualization_score	baseline_score
TKI258	ZNFX1-AS1	18874.0	1.0	
TKI258	ENSG00000131746	18873.0	0.99994701	
TKI258	ENSG00000131626	18872.0	0.99989403	
TKI258	ENSG00000131634	18871.0	0.99984104	
TKI258	ENSG00000131650	18870.0	0.99978806	
TKI258	ENSG00000131652	18869.0	0.99973507	
TKI258	ENSG00000131653	18868.0	0.99968209	
TKI258	ENSG00000131668	18867.0	0.9996291	
TKI258	ENSG00000131669	18866.0	0.99957611	
TKI258	ENSG00000131686	18865.0	0.99952313	
TKI258	ENSG00000131697	18864.0	0.99947014	
TKI258	ENSG00000131711	18863.0	0.99941716	
TKI258	ENSG00000131724	18862.0	0.99936417	
TKI258	ENSG00000131725	18861.0	0.99931119	
TKI258	ENSG00000131730	18860.0	0.9992582	
TKI258	ENSG00000131732	18859.0	0.99920521	
TKI258	ENSG00000131737	18858.0	0.99915223	
TKI258	ENSG00000131620	18857.0	0.99909924	
TKI258	ENSG00000131591	18856.0	0.99904626	
TKI258	ENSG00000131584	18855.0	0.99899327	
TKI258	ENSG00000131477	18854.0	0.99894029	
TKI258	ENSG00000131462	18853.0	0.9988873	
TKI258	ENSG00000131467	18852.0	0.99883431	
TKI258	ENSG00000131470	18851.0	0.99878133	
TKI258	ENSG00000131471	18850.0	0.99872834	
TKI258	ENSG00000131473	18849.0	0.99867536	
TKI258	ENSG00000131475	18848.0	0.99862237	
TKI258	ENSG00000131480	18847.0	0.99856938	
TKI258	ENSG00000131558	18846.0	0.9985164	
TKI258	ENSG00000131482	18845.0	0.99846341	
TKI258	ENSG00000131495	18844.0	0.99841043	
TKI258	ENSG00000131503	18843.0	0.99835744	
TKI258	ENSG00000131504	18842.0	0.99830446	
TKI258	ENSG00000131507	18841.0	0.99825147	
TKI258	ENSG00000131508	18840.0	0.99819848	
TKI258	ENSG00000131738	18839.0	0.9981455	
TKI258	ENSG00000131747	18838.0	0.99809251	
TKI258	ENSG00000131446	18837.0	0.99803953	
TKI258	ENSG00000131748	18836.0	0.99798654	
TKI258	ENSG00000131914	18835.0	0.99793356	
TKI258	ENSG00000131931	18834.0	0.99788057	
TKI258	ENSG00000131941	18833.0	0.99782758	
TKI258	ENSG00000131943	18832.0	0.9977746	
TKI258	ENSG00000131944	18831.0	0.99772161	
TKI258	ENSG00000131966	18830.0	0.99766863	
TKI258	ENSG00000131969	18829.0	0.99761564	
TKI258	ENSG00000131979	18828.0	0.99756266	
TKI258	ENSG00000131981	18827.0	0.99750967	
TKI258	ENSG00000132000	18826.0	0.99745668	
TKI258	ENSG00000132002	18825.0	0.9974037	
TKI258	ENSG00000132004	18824.0	0.99735071	
TKI258	ENSG00000132005	18823.0	0.99729773	
TKI258	ENSG00000132016	18822.0	0.99724474	
TKI258	ENSG00000132017	18821.0	0.99719176	
TKI258	ENSG00000131910	18820.0	0.99713877	
TKI258	ENSG00000131899	18819.0	0.99708578	
TKI258	ENSG00000131873	18818.0	0.9970328	
TKI258	ENSG00000131788	18817.0	0.99697981	
TKI258	ENSG00000131759	18816.0	0.99692683	
TKI258	ENSG00000131771	18815.0	0.99687384	
TKI258	ENSG00000131773	18814.0	0.99682086	
TKI258	ENSG00000131778	18813.0	0.99676787	
TKI258	ENSG00000131779	18812.0	0.99671488	
TKI258	ENSG00000131781	18811.0	0.9966619	
TKI258	ENSG00000131791	18810.0	0.99660891	
TKI258	ENSG00000131864	18809.0	0.99655593	
TKI258	ENSG00000131808	18808.0	0.99650294	
TKI258	ENSG00000131828	18807.0	0.99644995	
TKI258	ENSG00000131831	18806.0	0.99639697	
TKI258	ENSG00000131845	18805.0	0.99634398	
TKI258	ENSG00000131848	18804.0	0.996291	
TKI258	ENSG00000131849	18803.0	0.99623801	
TKI258	ENSG00000131459	18802.0	0.99618503	
TKI258	ENSG00000131437	18801.0	0.99613204	
TKI258	ENSG00000130921	18800.0	0.99607905	
TKI258	ENSG00000131115	18799.0	0.99602607	
TKI258	ENSG00000131044	18798.0	0.99597308	
TKI258	ENSG00000131050	18797.0	0.9959201	
TKI258	ENSG00000131051	18796.0	0.99586711	
TKI258	ENSG00000131055	18795.0	0.99581413	
TKI258	ENSG00000131059	18794.0	0.99576114	
TKI258	ENSG00000131061	18793.0	0.99570815	
TKI258	ENSG00000131067	18792.0	0.99565517	
TKI258	ENSG00000131068	18791.0	0.99560218	
TKI258	ENSG00000131069	18790.0	0.9955492	
TKI258	ENSG00000131080	18789.0	0.99549621	
TKI258	ENSG00000131089	18788.0	0.99544323	
TKI258	ENSG00000131094	18787.0	0.99539024	
TKI258	ENSG00000131095	18786.0	0.99533725	
TKI258	ENSG00000131096	18785.0	0.99528427	
TKI258	ENSG00000131097	18784.0	0.99523128	
TKI258	ENSG00000131037	18783.0	0.9951783	
TKI258	ENSG00000131023	18782.0	0.99512531	
TKI258	ENSG00000131019	18781.0	0.99507233	
TKI258	ENSG00000130958	18780.0	0.99501934	
TKI258	ENSG00000130939	18779.0	0.99496635	
TKI258	ENSG00000130940	18778.0	0.99491337	
TKI258	ENSG00000130943	18777.0	0.99486038	
TKI258	ENSG00000130948	18776.0	0.9948074	
TKI258	ENSG00000130956	18775.0	0.99475441	
TKI258	ENSG00000130957	18774.0	0.99470143	
TKI258	ENSG00000130962	18773.0	0.99464844	
TKI258	ENSG00000131018	18772.0	0.99459545	
TKI258	ENSG00000130985	18771.0	0.99454247	
TKI258	ENSG00000130988	18770.0	0.99448948	
TKI258	ENSG00000130997	18769.0	0.9944365	
TKI258	ENSG00000131013	18768.0	0.99438351	
TKI258	ENSG00000131015	18767.0	0.99433053	
TKI258	ENSG00000131016	18766.0	0.99427754	
TKI258	ENSG00000131100	18765.0	0.99422455	
TKI258	ENSG00000131116	18764.0	0.99417157	
TKI258	ENSG00000131435	18763.0	0.99411858	
TKI258	ENSG00000131126	18762.0	0.9940656	
TKI258	ENSG00000131351	18761.0	0.99401261	
TKI258	ENSG00000131355	18760.0	0.99395962	
TKI258	ENSG00000131368	18759.0	0.99390664	
TKI258	ENSG00000131370	18758.0	0.99385365	
TKI258	ENSG00000131373	18757.0	0.99380067	
TKI258	ENSG00000131374	18756.0	0.99374768	
TKI258	ENSG00000131375	18755.0	0.9936947	
TKI258	ENSG00000131378	18754.0	0.99364171	
TKI258	ENSG00000131379	18753.0	0.99358872	
TKI258	ENSG00000131389	18752.0	0.99353574	
TKI258	ENSG00000131398	18751.0	0.99348275	
TKI258	ENSG00000131400	18750.0	0.99342977	
TKI258	ENSG00000131401	18749.0	0.99337678	
TKI258	ENSG00000131408	18748.0	0.9933238	
TKI258	ENSG00000131409	18747.0	0.99327081	
TKI258	ENSG00000131323	18746.0	0.99321782	
TKI258	ENSG00000131269	18745.0	0.99316484	
TKI258	ENSG00000131264	18744.0	0.99311185	
TKI258	ENSG00000131183	18743.0	0.99305887	
TKI258	ENSG00000131142	18742.0	0.99300588	
TKI258	ENSG00000131143	18741.0	0.9929529	
TKI258	ENSG00000131153	18740.0	0.99289991	
TKI258	ENSG00000131165	18739.0	0.99284692	
TKI258	ENSG00000131171	18738.0	0.99279394	
TKI258	ENSG00000131174	18737.0	0.99274095	
TKI258	ENSG00000131187	18736.0	0.99268797	
TKI258	ENSG00000131263	18735.0	0.99263498	
