	17-AAG
1	1/2-SBSRNA4
2	A2LD1
3	AAA1
4	ABP1
5	ACBD6
6	ACPL2
7	ADAM1
8	ADAM5P
9	ADC
10	AGPHD1
11	AGXT2L1
12	AGXT2L2
13	AKD1
14	ALS2CR8
15	ANKRD5
16	ANP32A-IT1
17	AOC4
18	ARMCX5-GPRASP2
19	ARPM1
20	ASAP1-IT1
21	ASB3
22	ATP1A1OS
23	ATPAF1-AS1
24	ATPBD4
25	AZI1
26	B3GNT1
27	BCMO1
28	BDNF-AS1
29	BOD1L
30	BOD1P
31	BRD7P3
32	BREA2
33	BRP44
34	BRP44L
35	BRWD1-IT2
36	C10orf103
37	C10orf108
38	C10orf112
39	C10orf114
40	C10orf116
41	C10orf118
42	C10orf122
43	C10orf125
44	C10orf136
45	C10orf137
46	C10orf140
47	C10orf26
48	C10orf27
49	C10orf28
50	C10orf40
51	C10orf46
52	C10orf47
53	C10orf58
54	C10orf68
55	C10orf81
56	C10orf85
57	C10orf96
58	C11orf10
59	C11orf2
60	C11orf20
61	C11orf35
62	C11orf36
63	C11orf41
64	C11orf48
65	C11orf51
66	C11orf67
67	C11orf75
68	C11orf82
69	C11orf83
70	C11orf9
71	C11orf92
72	C11orf93
73	C12orf12
74	C12orf23
75	C12orf26
76	C12orf28
77	C12orf32
78	C12orf33
79	C12orf34
80	C12orf35
81	C12orf37
82	C12orf39
83	C12orf44
84	C12orf47
85	C12orf51
86	C12orf52
87	C12orf53
88	C12orf55
89	C12orf59
90	C12orf61
91	C12orf68
92	C12orf69
93	C13orf33
94	C13orf44-AS1
95	C14orf101
96	C14orf102
97	C14orf109
98	C14orf118
99	C14orf126
100	C14orf129
101	C14orf133
102	C14orf135
103	C14orf149
104	C14orf162
105	C14orf166B
106	C14orf167
107	C14orf182
108	C14orf21
109	C14orf23
110	C14orf43
111	C14orf45
112	C14orf49
113	C14orf64
114	C15orf17
115	C15orf2
116	C15orf23
117	C15orf24
118	C15orf29
119	C15orf33
120	C15orf34
121	C15orf37
122	C15orf38
123	C15orf42
124	C15orf44
125	C15orf5
126	C15orf50
127	C15orf55
128	C15orf60
129	C16orf11
130	C16orf3
131	C16orf42
132	C16orf48
133	C16orf5
134	C16orf53
135	C16orf55
136	C16orf57
137	C16orf7
138	C16orf73
139	C16orf79
140	C16orf80
141	C16orf88
142	C17orf101
143	C17orf103
144	C17orf108
145	C17orf109
146	C17orf110
147	C17orf28
148	C17orf39
149	C17orf48
150	C17orf56
151	C17orf57
152	C17orf61
153	C17orf63
154	C17orf65
155	C17orf66
156	C17orf69
157	C17orf72
158	C17orf76-AS1
159	C17orf79
160	C17orf81
161	C17orf90
162	C18orf1
163	C18orf34
164	C18orf56
165	C18orf62
166	C19orf10
167	C19orf21
168	C19orf29
169	C19orf42
170	C19orf46
171	C19orf51
172	C19orf55
173	C19orf59
174	C19orf6
175	C19orf63
176	C19orf69
177	C19orf75
178	C19orf76
179	C19orf77
180	C19orf79
181	C1orf114
182	C1orf124
183	C1orf126
184	C1orf129
185	C1orf133
186	C1orf135
187	C1orf144
188	C1orf150
189	C1orf170
190	C1orf172
191	C1orf173
192	C1orf180
193	C1orf182
194	C1orf187
195	C1orf192
196	C1orf200
197	C1orf201
198	C1orf212
199	C1orf213
200	C1orf222
201	C1orf227
202	C1orf31
203	C1orf38
204	C1orf49
205	C1orf51
206	C1orf55
207	C1orf63
208	C1orf65
209	C1orf85
210	C1orf88
211	C1orf9
212	C1orf96
213	C1orf98
214	C20orf11
215	C20orf111
216	C20orf112
217	C20orf118
218	C20orf132
219	C20orf151
220	C20orf152
221	C20orf160
222	C20orf166
223	C20orf20
224	C20orf201
225	C20orf26
226	C20orf3
227	C20orf30
228	C20orf4
229	C20orf43
230	C20orf61
231	C20orf7
232	C20orf72
233	C20orf79
234	C20orf94
235	C21orf119
236	C21orf128
237	C21orf37
238	C21orf49
239	C21orf56
240	C21orf63
241	C21orf67
242	C21orf7
243	C21orf88
244	C21orf90
245	C22orf13
246	C22orf25
247	C22orf26
248	C22orf28
249	C22orf32
250	C22orf40
251	C22orf43
252	C22orf45
253	C2orf18
254	C2orf28
255	C2orf29
256	C2orf51
257	C2orf53
258	C2orf55
259	C2orf56
260	C2orf63
261	C2orf65
262	C2orf77
263	C2orf84
264	C2orf89
265	C3orf15
266	C3orf19
267	C3orf23
268	C3orf24
269	C3orf25
270	C3orf26
271	C3orf27
272	C3orf32
273	C3orf37
274	C3orf39
275	C3orf43
276	C3orf45
277	C3orf51
278	C3orf55
279	C3orf64
280	C3orf65
281	C3orf71
282	C3orf75
283	C3orf78
284	C4orf21
285	C4orf34
286	C4orf37
287	C4orf42
288	C4orf49
289	C4orf52
290	C4orf6
291	C5orf20
292	C5orf25
293	C5orf27
294	C5orf39
295	C5orf4
296	C5orf41
297	C5orf43
298	C5orf44
299	C5orf48
300	C5orf54
301	C5orf55
302	C5orf62
303	C6orf108
304	C6orf115
305	C6orf123
306	C6orf130
307	C6orf147
308	C6orf162
309	C6orf164
310	C6orf170
311	C6orf192
312	C6orf221
313	C6orf225
314	C6orf228
315	C6orf70
316	C6orf72
317	C6orf97
318	C7orf10
319	C7orf13
320	C7orf23
321	C7orf29
322	C7orf41
323	C7orf42
324	C7orf44
325	C7orf45
326	C7orf46
327	C7orf53
328	C7orf58
329	C7orf59
330	C7orf63
331	C7orf70
332	C8orf12
333	C8orf38
334	C8orf39
335	C8orf40
336	C8orf42
337	C8orf45
338	C8orf47
339	C8orf51
340	C8orf55
341	C8orf56
342	C8orf71
343	C8orf73
344	C8orf75
345	C8orf77
346	C8orf83
347	C8orf84
348	C9orf100
349	C9orf102
350	C9orf103
351	C9orf11
352	C9orf123
353	C9orf125
354	C9orf128
355	C9orf148
356	C9orf167
357	C9orf169
358	C9orf21
359	C9orf23
360	C9orf25
361	C9orf29
362	C9orf30
363	C9orf37
364	C9orf38
365	C9orf4
366	C9orf46
367	C9orf5
368	C9orf53
369	C9orf68
370	C9orf7
371	C9orf71
372	C9orf79
373	C9orf80
374	C9orf82
375	C9orf86
376	C9orf93
377	C9orf95
378	C9orf96
379	CCBP2
380	CCDC104
381	CCDC11
382	CCDC111
383	CCDC135
384	CCDC147
