Response	Feature_ID	quantitative_sorting_score	visualization_score	baseline_score
Panobinostat	ZNFX1-AS1	18874.0	1.0	
Panobinostat	ENSG00000131746	18873.0	0.99994701	
Panobinostat	ENSG00000131626	18872.0	0.99989403	
Panobinostat	ENSG00000131634	18871.0	0.99984104	
Panobinostat	ENSG00000131650	18870.0	0.99978806	
Panobinostat	ENSG00000131652	18869.0	0.99973507	
Panobinostat	ENSG00000131653	18868.0	0.99968209	
Panobinostat	ENSG00000131668	18867.0	0.9996291	
Panobinostat	ENSG00000131669	18866.0	0.99957611	
Panobinostat	ENSG00000131686	18865.0	0.99952313	
Panobinostat	ENSG00000131697	18864.0	0.99947014	
Panobinostat	ENSG00000131711	18863.0	0.99941716	
Panobinostat	ENSG00000131724	18862.0	0.99936417	
Panobinostat	ENSG00000131725	18861.0	0.99931119	
Panobinostat	ENSG00000131730	18860.0	0.9992582	
Panobinostat	ENSG00000131732	18859.0	0.99920521	
Panobinostat	ENSG00000131737	18858.0	0.99915223	
Panobinostat	ENSG00000131620	18857.0	0.99909924	
Panobinostat	ENSG00000131591	18856.0	0.99904626	
Panobinostat	ENSG00000131584	18855.0	0.99899327	
Panobinostat	ENSG00000131477	18854.0	0.99894029	
Panobinostat	ENSG00000131462	18853.0	0.9988873	
Panobinostat	ENSG00000131467	18852.0	0.99883431	
Panobinostat	ENSG00000131470	18851.0	0.99878133	
Panobinostat	ENSG00000131471	18850.0	0.99872834	
Panobinostat	ENSG00000131473	18849.0	0.99867536	
Panobinostat	ENSG00000131475	18848.0	0.99862237	
Panobinostat	ENSG00000131480	18847.0	0.99856938	
Panobinostat	ENSG00000131558	18846.0	0.9985164	
Panobinostat	ENSG00000131482	18845.0	0.99846341	
Panobinostat	ENSG00000131495	18844.0	0.99841043	
Panobinostat	ENSG00000131503	18843.0	0.99835744	
Panobinostat	ENSG00000131504	18842.0	0.99830446	
Panobinostat	ENSG00000131507	18841.0	0.99825147	
Panobinostat	ENSG00000131508	18840.0	0.99819848	
Panobinostat	ENSG00000131738	18839.0	0.9981455	
Panobinostat	ENSG00000131747	18838.0	0.99809251	
Panobinostat	ENSG00000131446	18837.0	0.99803953	
Panobinostat	ENSG00000131748	18836.0	0.99798654	
Panobinostat	ENSG00000131914	18835.0	0.99793356	
Panobinostat	ENSG00000131931	18834.0	0.99788057	
Panobinostat	ENSG00000131941	18833.0	0.99782758	
Panobinostat	ENSG00000131943	18832.0	0.9977746	
Panobinostat	ENSG00000131944	18831.0	0.99772161	
Panobinostat	ENSG00000131966	18830.0	0.99766863	
Panobinostat	ENSG00000131969	18829.0	0.99761564	
Panobinostat	ENSG00000131979	18828.0	0.99756266	
Panobinostat	ENSG00000131981	18827.0	0.99750967	
Panobinostat	ENSG00000132000	18826.0	0.99745668	
Panobinostat	ENSG00000132002	18825.0	0.9974037	
Panobinostat	ENSG00000132004	18824.0	0.99735071	
Panobinostat	ENSG00000132005	18823.0	0.99729773	
Panobinostat	ENSG00000132016	18822.0	0.99724474	
Panobinostat	ENSG00000132017	18821.0	0.99719176	
Panobinostat	ENSG00000131910	18820.0	0.99713877	
Panobinostat	ENSG00000131899	18819.0	0.99708578	
Panobinostat	ENSG00000131873	18818.0	0.9970328	
Panobinostat	ENSG00000131788	18817.0	0.99697981	
Panobinostat	ENSG00000131759	18816.0	0.99692683	
Panobinostat	ENSG00000131771	18815.0	0.99687384	
Panobinostat	ENSG00000131773	18814.0	0.99682086	
Panobinostat	ENSG00000131778	18813.0	0.99676787	
Panobinostat	ENSG00000131779	18812.0	0.99671488	
Panobinostat	ENSG00000131781	18811.0	0.9966619	
Panobinostat	ENSG00000131791	18810.0	0.99660891	
Panobinostat	ENSG00000131864	18809.0	0.99655593	
Panobinostat	ENSG00000131808	18808.0	0.99650294	
Panobinostat	ENSG00000131828	18807.0	0.99644995	
Panobinostat	ENSG00000131831	18806.0	0.99639697	
Panobinostat	ENSG00000131845	18805.0	0.99634398	
Panobinostat	ENSG00000131848	18804.0	0.996291	
Panobinostat	ENSG00000131849	18803.0	0.99623801	
Panobinostat	ENSG00000131459	18802.0	0.99618503	
Panobinostat	ENSG00000131437	18801.0	0.99613204	
Panobinostat	ENSG00000130921	18800.0	0.99607905	
Panobinostat	ENSG00000131115	18799.0	0.99602607	
Panobinostat	ENSG00000131044	18798.0	0.99597308	
Panobinostat	ENSG00000131050	18797.0	0.9959201	
Panobinostat	ENSG00000131051	18796.0	0.99586711	
Panobinostat	ENSG00000131055	18795.0	0.99581413	
Panobinostat	ENSG00000131059	18794.0	0.99576114	
Panobinostat	ENSG00000131061	18793.0	0.99570815	
Panobinostat	ENSG00000131067	18792.0	0.99565517	
Panobinostat	ENSG00000131068	18791.0	0.99560218	
Panobinostat	ENSG00000131069	18790.0	0.9955492	
Panobinostat	ENSG00000131080	18789.0	0.99549621	
Panobinostat	ENSG00000131089	18788.0	0.99544323	
Panobinostat	ENSG00000131094	18787.0	0.99539024	
Panobinostat	ENSG00000131095	18786.0	0.99533725	
Panobinostat	ENSG00000131096	18785.0	0.99528427	
Panobinostat	ENSG00000131097	18784.0	0.99523128	
Panobinostat	ENSG00000131037	18783.0	0.9951783	
Panobinostat	ENSG00000131023	18782.0	0.99512531	
Panobinostat	ENSG00000131019	18781.0	0.99507233	
Panobinostat	ENSG00000130958	18780.0	0.99501934	
Panobinostat	ENSG00000130939	18779.0	0.99496635	
Panobinostat	ENSG00000130940	18778.0	0.99491337	
Panobinostat	ENSG00000130943	18777.0	0.99486038	
Panobinostat	ENSG00000130948	18776.0	0.9948074	
Panobinostat	ENSG00000130956	18775.0	0.99475441	
Panobinostat	ENSG00000130957	18774.0	0.99470143	
Panobinostat	ENSG00000130962	18773.0	0.99464844	
Panobinostat	ENSG00000131018	18772.0	0.99459545	
